symbol,date,close,high,low,open,volume,adjClose,adjHigh,adjLow,adjOpen,adjVolume,divCash,splitFactor
TCS,2020-06-19 00:00:00+00:00,3.18,3.44,3.15,3.26,260441,3.18,3.44,3.15,3.26,260441,0.0,1.0
TCS,2020-06-22 00:00:00+00:00,3.02,3.25,2.97,3.08,233876,3.02,3.25,2.97,3.08,233876,0.0,1.0
TCS,2020-06-23 00:00:00+00:00,3.14,3.24,3.0671,3.1,178406,3.14,3.24,3.0671,3.1,178406,0.0,1.0
TCS,2020-06-24 00:00:00+00:00,3.0,3.15,2.88,3.1,199384,3.0,3.15,2.88,3.1,199384,0.0,1.0
TCS,2020-06-25 00:00:00+00:00,2.99,3.02,2.86,2.92,164067,2.99,3.02,2.86,2.92,164067,0.0,1.0
TCS,2020-06-26 00:00:00+00:00,3.14,3.2,2.83,2.94,579758,3.14,3.2,2.83,2.94,579758,0.0,1.0
TCS,2020-06-29 00:00:00+00:00,3.16,3.37,2.99,2.99,224500,3.16,3.37,2.99,2.99,224500,0.0,1.0
TCS,2020-06-30 00:00:00+00:00,3.24,3.3,3.07,3.22,160400,3.24,3.3,3.07,3.22,160400,0.0,1.0
TCS,2020-07-01 00:00:00+00:00,3.24,3.31,3.18,3.28,86600,3.24,3.31,3.18,3.28,86600,0.0,1.0
TCS,2020-07-02 00:00:00+00:00,3.21,3.35,3.14,3.3,165400,3.21,3.35,3.14,3.3,165400,0.0,1.0
TCS,2020-07-06 00:00:00+00:00,3.44,3.47,3.21,3.21,198600,3.44,3.47,3.21,3.21,198600,0.0,1.0
TCS,2020-07-07 00:00:00+00:00,3.31,3.46,3.27,3.46,186700,3.31,3.46,3.27,3.46,186700,0.0,1.0
TCS,2020-07-08 00:00:00+00:00,4.19,4.54,3.34,3.35,4749400,4.19,4.54,3.34,3.35,4749400,0.0,1.0
TCS,2020-07-09 00:00:00+00:00,3.77,4.39,3.75,4.28,896700,3.77,4.39,3.75,4.28,896700,0.0,1.0
TCS,2020-07-10 00:00:00+00:00,4.1,4.19,3.81,3.81,344400,4.1,4.19,3.81,3.81,344400,0.0,1.0
TCS,2020-07-13 00:00:00+00:00,3.72,4.2,3.71,4.2,437300,3.72,4.2,3.71,4.2,437300,0.0,1.0
TCS,2020-07-14 00:00:00+00:00,3.95,4.09,3.79,3.9,336400,3.95,4.09,3.79,3.9,336400,0.0,1.0
TCS,2020-07-15 00:00:00+00:00,4.2,4.3,4.03,4.05,382400,4.2,4.3,4.03,4.05,382400,0.0,1.0
TCS,2020-07-16 00:00:00+00:00,4.2,4.29,3.98,4.17,215700,4.2,4.29,3.98,4.17,215700,0.0,1.0
TCS,2020-07-17 00:00:00+00:00,4.18,4.4,4.17,4.2,189900,4.18,4.4,4.17,4.2,189900,0.0,1.0
TCS,2020-07-20 00:00:00+00:00,4.14,4.52,4.1,4.18,370270,4.14,4.52,4.1,4.18,370270,0.0,1.0
TCS,2020-07-21 00:00:00+00:00,4.24,4.39,4.16,4.16,207334,4.24,4.39,4.16,4.16,207334,0.0,1.0
TCS,2020-07-22 00:00:00+00:00,4.31,4.45,4.19,4.19,195255,4.31,4.45,4.19,4.19,195255,0.0,1.0
